f,n_neurons,pct,n_regions
0.50,17167,60.08,59
0.51,16639,58.23,58
0.52,16164,56.57,58
0.53,15739,55.08,58
0.54,15305,53.56,58
0.55,14925,52.23,58
0.56,14478,50.67,56
0.57,14081,49.28,55
0.58,13701,47.95,54
0.59,13303,46.56,54
0.60,12880,45.08,53
0.61,12540,43.89,53
0.62,12167,42.58,52
0.63,11843,41.45,52
0.64,11494,40.23,52
0.65,11178,39.12,52
0.66,10838,37.93,51
0.67,10542,36.89,50
0.68,10229,35.80,49
0.69,9953,34.83,47
0.70,9665,33.83,46
0.71,9390,32.86,45
0.72,9072,31.75,44
0.73,8789,30.76,44
0.74,8506,29.77,43
0.75,8178,28.62,40
0.76,7948,27.82,40
0.77,7697,26.94,39
0.78,7408,25.93,38
0.79,7155,25.04,36
0.80,6895,24.13,35
0.81,6670,23.34,33
0.82,6412,22.44,33
0.83,6160,21.56,32
0.84,5921,20.72,30
0.85,5693,19.92,30
0.86,5447,19.06,30
0.87,5206,18.22,26
0.88,4987,17.45,26
0.89,4766,16.68,25
0.90,4533,15.86,25
0.91,4332,15.16,25
0.92,4117,14.41,24
0.93,3899,13.65,23
0.94,3680,12.88,22
0.95,3463,12.12,22
0.96,3236,11.33,21
0.97,3009,10.53,21
0.98,2733,9.56,19
0.99,2407,8.42,18
1.00,0,0.00,0
